Date,Low,High,Close,Open
2019-05-20,30.22,31.21,30.735,30.65
2019-05-17,31.69,32.36,31.74,32.03
2019-05-16,32.02,32.9,32.32,32.2
2019-05-15,31.55,32.415,32.16,32.03
2019-05-14,32.0142,32.65,32.34,32.19
2019-05-13,31.98,33.2,32.14,33.16
2019-05-10,32.941,34.19,33.99,33.72
2019-05-09,33.06,34.015,33.95,33.39
2019-05-08,33.56,34.38,33.75,33.7
2019-05-07,33.405,34.33,33.91,34.25
2019-05-06,33.72,34.77,34.75,34.25
2019-05-03,34.15,34.9,34.79,34.21
2019-05-02,33.84,34.855,33.95,33.96
2019-05-01,33.88,34.59,33.91,34.3
2019-04-30,33.55,34.3899,34.18,33.78
2019-04-29,33.31,33.99,33.77,33.51
2019-04-26,32.1,33.92,33.06,32.15
2019-04-25,33.13,34.25,33.41,34.05
2019-04-24,33.9,34.49,33.99,33.92
2019-04-23,33.42,34.18,33.97,33.43
2019-04-22,33.425,34.2,33.48,34.1
2019-04-18,33.9,34.6199,34.37,34.43
2019-04-17,34.1031,34.72,34.38,34.45
2019-04-16,33.59,34.09,34.03,33.96
2019-04-15,33.68,35.24,33.75,34.65
2019-04-12,34.5,35.235,34.69,34.99
2019-04-11,33.91,34.97,34.81,33.99
2019-04-10,33.09,34.13,34.02,33.76
2019-04-09,32.6,33.52,33.31,33.37
2019-04-08,33.44,33.9529,33.88,33.64
2019-04-05,33.88,34.4,34.06,33.97
2019-04-04,33.35,34.12,33.93,33.96
2019-04-03,33.21,33.99,33.71,33.22
2019-04-02,32.46,33.47,32.99,33.04
2019-04-01,31.7,32.7263,32.35,31.98
2019-03-29,30.835,31.885,31.76,31.14
2019-03-28,30.44,31.37,30.9,31.01
2019-03-27,30.15,31.2,30.94,30.27
2019-03-26,29.97,30.62,30.21,30.51
2019-03-25,30.16,30.7151,30.21,30.53
2019-03-22,30.53,31.44,30.57,31.32
2019-03-21,30.79,31.77,31.45,30.89
2019-03-20,30.77,31.55,30.96,31.5
2019-03-19,31.38,32.12,31.59,31.5
2019-03-18,31.03,31.58,31.38,31.5
2019-03-15,31.415,32.35,31.43,32.28
2019-03-14,31.88,32.47,32.13,31.96
2019-03-13,31.0,31.925,31.84,31.22
2019-03-12,30.88,32.19,30.92,32.19
2019-03-11,31.57,32.27,32.05,31.64
2019-03-08,31.37,32.115,31.91,31.9
2019-03-07,31.6177,32.7,32.22,32.7
2019-03-06,32.515,33.415,32.76,33.22
2019-03-05,33.17,34.38,33.23,34.03
2019-03-04,33.5,34.89,33.72,34.76
2019-03-01,34.37,35.96,34.64,35.58
2019-02-28,35.1699,35.89,35.63,35.63
2019-02-27,35.2681,36.33,35.69,36.11
2019-02-26,35.75,36.725,36.25,35.9
2019-02-25,35.67,36.3799,35.9,35.75
2019-02-22,35.0,35.55,35.49,35.0
2019-02-21,34.825,35.51,34.98,34.98
2019-02-20,34.77,35.24,35.06,35.0
2019-02-19,35.0,35.9,35.47,35.03
2019-02-15,34.96,36.34,35.05,36.24
2019-02-14,35.67,36.525,36.11,35.91
2019-02-13,35.81,36.4632,36.21,35.83
2019-02-12,35.67,37.17,35.75,36.76
2019-02-11,36.08,36.7173,36.59,36.08
2019-02-08,35.39,36.23,36.0,35.8
2019-02-07,35.94,36.7,36.17,36.46
2019-02-06,36.61,37.09,36.76,36.8
2019-02-05,36.7,37.23,36.93,36.81
