Date,Low,High,Close,Open
2019-05-16,1162.84,1188.16,1178.98,1164.51
2019-05-15,1116.67,1171.33,1164.21,1117.87
2019-05-14,1119.55,1140.42,1120.44,1137.21
2019-05-13,1122.11,1147.94,1132.03,1141.96
2019-05-10,1142.5,1172.6,1164.27,1163.59
2019-05-09,1150.85,1169.66,1162.38,1159.03
2019-05-08,1165.74,1180.42,1166.27,1172.01
2019-05-07,1161.04,1190.44,1174.1,1180.47
2019-05-06,1166.26,1190.85,1189.39,1166.26
2019-05-03,1169.0,1186.8,1185.4,1173.65
2019-05-02,1155.0,1174.19,1162.61,1167.76
2019-05-01,1167.18,1188.05,1168.08,1188.05
2019-04-30,1175.0,1192.81,1188.48,1185.0
2019-04-29,1266.29,1289.27,1287.58,1274.0
2019-04-26,1260.32,1273.07,1272.18,1269.0
2019-04-25,1252.03,1267.41,1263.45,1264.77
2019-04-24,1255.0,1268.01,1256.0,1264.12
2019-04-23,1246.38,1269.0,1264.55,1250.69
2019-04-22,1228.31,1249.09,1248.84,1235.99
2019-04-18,1234.61,1242.0,1236.37,1239.18
2019-04-17,1227.82,1240.56,1236.34,1233.0
2019-04-16,1220.12,1230.82,1227.13,1225.0
2019-04-15,1209.11,1224.2,1221.1,1218.0
2019-04-12,1208.11,1218.35,1217.87,1210.0
2019-04-11,1200.13,1207.96,1204.62,1203.96
2019-04-10,1196.43,1203.79,1202.16,1200.68
2019-04-09,1193.08,1202.29,1197.25,1196.0
2019-04-08,1199.86,1208.69,1203.84,1207.89
2019-04-05,1205.03,1216.22,1207.15,1214.99
2019-04-04,1204.13,1215.67,1215.0,1205.94
2019-04-03,1200.5,1216.3,1205.92,1207.48
2019-04-02,1185.71,1201.35,1200.49,1195.32
2019-04-01,1182.0,1196.66,1194.43,1184.1
2019-03-29,1162.88,1178.99,1173.31,1174.9
2019-03-28,1159.43,1171.57,1168.49,1171.54
2019-03-27,1159.37,1187.56,1173.02,1185.5
2019-03-26,1176.72,1202.83,1184.62,1198.53
2019-03-25,1187.04,1206.4,1193.0,1196.93
2019-03-22,1202.83,1230.0,1205.5,1226.32
2019-03-21,1213.15,1231.79,1231.54,1216.0
2019-03-20,1196.17,1227.14,1223.97,1197.35
2019-03-19,1185.87,1200.0,1198.85,1188.81
2019-03-18,1177.42,1190.0,1184.26,1183.3
2019-03-15,1182.61,1196.57,1184.46,1193.38
2019-03-14,1184.48,1197.88,1185.55,1194.51
2019-03-13,1191.94,1200.93,1193.32,1200.64
2019-03-12,1178.26,1200.0,1193.2,1178.26
2019-03-11,1144.45,1176.19,1175.76,1144.45
2019-03-08,1123.3,1147.08,1142.32,1126.73
2019-03-07,1134.91,1156.76,1143.3,1155.72
2019-03-06,1155.49,1167.57,1157.86,1162.49
2019-03-05,1146.19,1169.61,1162.03,1150.06
2019-03-04,1130.69,1158.28,1147.8,1146.99
2019-03-01,1124.75,1142.97,1140.99,1124.9
2019-02-28,1111.01,1127.65,1119.92,1111.3
2019-02-27,1101.0,1117.98,1116.05,1106.95
2019-02-26,1099.92,1119.51,1115.13,1105.75
2019-02-25,1107.27,1118.54,1109.4,1116.0
2019-02-22,1095.6,1111.24,1110.37,1100.9
2019-02-21,1092.52,1111.94,1096.97,1110.84
2019-02-20,1105.28,1123.41,1113.8,1119.99
2019-02-19,1110.0,1121.89,1118.56,1110.0
2019-02-15,1110.65,1131.67,1113.65,1130.08
2019-02-14,1110.44,1128.23,1121.67,1118.05
2019-02-13,1118.5,1134.73,1120.16,1124.99
2019-02-12,1105.85,1125.3,1121.37,1106.8
2019-02-11,1092.86,1105.94,1095.01,1096.95
2019-02-08,1086.55,1098.91,1095.06,1087.0
2019-02-07,1086.0,1104.84,1098.71,1104.16
2019-02-06,1112.77,1147.0,1115.23,1139.57
2019-02-05,1117.25,1146.85,1145.99,1124.84
2019-02-04,1109.02,1132.8,1132.8,1112.66
2019-02-01,1104.89,1125.0,1110.75,1112.4
2019-01-31,1095.41,1117.33,1116.37,1103.0
2019-01-30,1066.85,1091.0,1089.06,1068.43
2019-01-29,1055.86,1075.15,1060.62,1072.68
2019-01-28,1063.8,1083.0,1070.08,1080.11
2019-01-25,1081.82,1094.0,1090.99,1085.0
2019-01-24,1060.7,1079.47,1073.9,1076.48
2019-01-23,1059.75,1084.93,1075.57,1077.35
2019-01-22,1063.47,1091.51,1070.52,1088.0
2019-01-18,1090.9,1108.35,1098.26,1100.0
2019-01-17,1073.5,1091.8,1089.9,1079.47
2019-01-16,1079.34,1092.38,1080.97,1080.0
2019-01-15,1047.34,1080.05,1077.15,1050.17
2019-01-14,1041.26,1051.53,1044.69,1046.92
2019-01-11,1048.48,1063.78,1057.19,1063.18
2019-01-10,1057.71,1071.15,1070.33,1067.66
2019-01-09,1066.4,1082.63,1074.66,1081.65
2019-01-08,1060.53,1084.56,1076.28,1076.11
2019-01-07,1054.76,1074.0,1068.39,1071.5
2019-01-04,1027.42,1070.84,1070.71,1032.59
2019-01-03,1014.07,1056.98,1016.06,1041.0
2019-01-02,1015.71,1052.32,1045.85,1016.57
2018-12-31,1023.59,1052.7,1035.61,1050.96
2018-12-28,1033.1,1055.56,1037.08,1049.62
2018-12-27,997.0,1043.89,1043.88,1017.15
2018-12-26,983.0,1040.0,1039.46,989.01
2018-12-24,970.11,1003.54,976.22,973.9
2018-12-21,973.69,1024.02,979.54,1015.3
2018-12-20,996.36,1034.22,1009.41,1018.13
2018-12-19,1008.05,1062.0,1023.01,1033.99
2018-12-18,1021.44,1049.48,1028.71,1026.09
2018-12-17,1007.9,1053.15,1016.53,1037.51
2018-12-14,1040.79,1062.6,1042.1,1049.98
2018-12-13,1053.93,1079.76,1061.9,1068.07
2018-12-12,1062.79,1081.65,1063.68,1068.0
2018-12-11,1039.84,1060.6,1051.75,1056.49
2018-12-10,1023.29,1048.45,1039.55,1035.05
2018-12-07,1028.5,1075.26,1036.58,1060.01
2018-12-06,1030.77,1071.2,1068.73,1034.26
2018-12-04,1049.98,1104.42,1050.82,1103.12
2018-12-03,1103.66,1124.65,1106.43,1123.14
2018-11-30,1077.88,1095.57,1094.43,1089.07
2018-11-29,1076.0,1094.24,1088.3,1076.08
2018-11-28,1035.76,1086.84,1086.23,1048.76
2018-11-27,1038.49,1057.58,1044.41,1041.0
2018-11-26,1033.91,1049.31,1048.62,1038.35
2018-11-23,1022.4,1037.59,1023.88,1030.0
2018-11-21,1033.47,1048.56,1037.61,1036.76
2018-11-20,996.02,1031.74,1025.76,1000.0
2018-11-19,1016.26,1060.79,1020.0,1057.2
2018-11-16,1048.98,1067.0,1061.49,1059.41
2018-11-15,1031.78,1071.85,1064.71,1044.71
2018-11-14,1031.0,1054.56,1043.66,1050.0
2018-11-13,1031.15,1056.61,1036.05,1043.29
2018-11-12,1031.0,1062.12,1038.63,1061.39
2018-11-09,1053.11,1075.56,1066.15,1073.99
2018-11-08,1072.2,1093.27,1082.4,1091.38
2018-11-07,1065.9,1095.46,1093.39,1069.0
2018-11-06,1038.07,1064.35,1055.81,1039.48
2018-11-05,1021.24,1058.47,1040.09,1055.0
2018-11-02,1054.61,1082.97,1057.79,1073.73
2018-11-01,1062.46,1083.97,1070.0,1075.8
2018-10-31,1057.0,1091.94,1076.77,1059.81
2018-10-30,1000.75,1037.49,1036.21,1008.46
2018-10-29,995.83,1097.04,1020.08,1082.47
2018-10-26,1034.09,1106.53,1071.47,1037.03
2018-10-25,1069.55,1110.98,1095.57,1071.79
2018-10-24,1048.74,1106.12,1050.71,1104.25
2018-10-23,1070.0,1107.89,1103.69,1080.89
2018-10-22,1091.0,1112.23,1101.16,1103.06
2018-10-19,1087.75,1110.36,1096.46,1093.37
2018-10-18,1077.09,1121.84,1087.97,1121.84
2018-10-17,1102.19,1128.99,1115.69,1126.46
2018-10-16,1102.5,1124.22,1121.28,1104.59
